"","site","sheet_id","sheet","loc.id","number","egg1","egg1b","live.hatch1","live.hatch2","live.hatch3","live.hatch4","dead.hatch1","dead.hatch2","dead.hatch3","dead.hatch4","x","y","tire_num","ABC","avg.egg","total.live","total.dead","total.hatch","pro.live","per.sur.live","rel.per.sur.live","per.red.live"
"34","Han","C","C.11","WI_Han_T2",4,224,231,0,0,0,0,4,0,0,0,-89.53542263,44.12137843,"T2","W",228,0,4,4,0,0,0,Inf
"35","Han","A","A.09","WI_Han_T1",3,194,197,0,0,0,0,2,0,2,1,-89.53542263,44.12137843,"T1","E",196,0,5,5,0,0,0,Inf
"36","Han","A","A.15","WI_Han_T2",4,145,156,0,0,0,0,13,0,1,1,-89.53542263,44.12137843,"T2","W",150,0,15,15,0,0,0,Inf
"37","Spo","A","A.06","WI_Spo_T1",1,135,146,0,0,0,0,8,0,0,0,-91.87564688,45.82318758,"T1","E",140,0,8,8,0,0,0,Inf
"38","Spo","C","C.14","WI_Spo_T1",1,466,475,0,0,0,0,13,0,0,0,-91.87564688,45.82318758,"T1","E",470,0,13,13,0,0,0,Inf
"39","Spo","A","A.02","WI_Spo_T2",2,102,94,0,0,0,0,9,0,0,0,-91.87564688,45.82318758,"T2","W",98,0,9,9,0,0,0,Inf
"40","Spo","B","B.10","WI_Spo_T2",2,276,283,0,0,0,0,2,0,0,0,-91.87564688,45.82318758,"T2","W",280,0,2,2,0,0,0,Inf
"41","Spo","C","C.03","WI_Spo_T2",2,428,438,0,0,0,0,21,1,0,0,-91.87564688,45.82318758,"T2","W",433,0,22,22,0,0,0,Inf
"42","Spo","B","B.13","WI_Spo_T1",1,216,206,0,0,0,0,3,0,0,1,-91.87564688,45.82318758,"T1","E",211,0,4,4,0,0,0,Inf
"43",NA,"B","B.03","CTR",0,161,191,1,32,2,6,5,7,3,0,NA,NA,"","E",176,41,15,56,0.732142857142857,0.232954545454545,1,0
"44",NA,"C","C.10","CTR",0,265,256,1,28,6,36,16,5,2,1,NA,NA,"","E",260,71,24,95,0.747368421052632,0.273076923076923,1,0
"45",NA,"A","A.11","CTR",0,233,226,0,9,1,1,7,2,1,2,NA,NA,"","E",230,11,12,23,0.478260869565217,0.0478260869565217,1,0
