"","sur","per.sur.live","JANmeanT","JANmeanA","MinT","MinA","JANmeanD","DaysB12T","DaysB12A","hrB12Tcon","hrB12Acon","FreThaA","FreThaT"
"1","None",0,-8.035,-11.3,-24.245,-29.7539130434783,3.235,38.3,52.1304347826087,18.695652173913,66.9565217391304,251.565217391304,789.086956521739
"2","Survival",0.324036918754026,-3.07692307692308,-4.37692307692308,-18.1630769230769,-19.8384615384615,1.3,15.3846153846154,18.5384615384615,12.3846153846154,24.6153846153846,134.153846153846,204.538461538462
